,Dily_Sales,#Users_Brazil,#Users_Mexico,#Users_Japan,#Users_Italy,#Users_France
43560,217,1,1,1,0,0
43561,0,0,0,0,0,0
43562,438,0,0,2,0,0
43563,50,0,0,9,0,0
43564,643,21,0,0,0,0
43565,479,0,0,0,5,0
43566,0,0,0,0,0,0
43567,76,0,7,0,0,0
43568,109,4,0,0,0,0
43569,100,12,0,0,0,0
43570,118,21,0,0,0,0
43571,577,11,0,0,0,0
43572,2685,21,14,0,0,7
43573,0,0,0,0,0,0
43574,155,15,8,0,0,0
43575,359,0,0,1,0,0
43576,75,0,0,0,0,2
43577,0,0,10,0,0,0
43578,96,0,0,0,0,0
43579,220,22,4,0,0,0
43580,25,23,0,0,0,0
43581,118,0,7,0,0,0
43582,76,7,0,0,0,0
43583,0,0,0,0,0,0
43584,0,0,0,0,0,0
43585,0,0,0,0,0,0
43586,60,24,0,0,0,0
43587,0,0,0,0,0,0
43588,493,10,6,0,0,0
43589,233,27,0,0,0,5
43590,0,0,0,0,0,0
43591,0,0,0,0,0,0
43592,1227,32,0,0,0,0
43593,389,27,0,0,0,0
43594,72,35,0,0,0,0
43595,928,0,0,0,0,0
43596,0,0,0,0,0,0
43597,0,0,0,0,0,0
43598,349,11,11,0,0,0
43599,1164,17,10,0,0,0
43600,25,0,0,0,0,0
43601,409,26,0,0,0,0
43602,90,17,0,1,0,0
43603,1017,22,0,0,0,0
43604,0,0,0,0,0,0
43605,99,0,0,0,0,0
43606,409,0,0,0,0,2
43607,359,0,8,0,0,0
43608,180,8,0,0,0,3
43609,892,9,10,0,0,0
43610,90,0,6,0,0,0
43611,0,0,0,0,0,0
43612,75,13,12,0,0,0
43613,0,0,0,0,0,0
43614,264,20,0,1,0,0
43615,140,0,0,1,0,6
43616,785,11,0,0,0,0
43617,376,14,0,0,0,0
43618,0,0,0,0,0,0
43619,404,0,0,0,0,0
43620,0,0,0,0,0,0
43621,403,0,0,0,0,5
43622,1091,16,12,0,0,0
43623,678,0,18,0,0,0
43624,0,0,0,0,0,0
43625,1437,0,0,0,0,0
43626,414,0,0,0,0,0
43627,890,16,0,0,0,0
43628,1190,18,0,0,1,0
43629,818,16,0,0,3,0
43630,0,0,0,0,0,0
43631,0,0,0,0,0,0
43632,209,0,0,0,0,0
43633,0,0,0,0,0,0
43634,0,0,0,0,0,0
43635,579,0,11,0,0,0
43636,1283,15,0,0,0,5
43637,564,0,12,0,2,0
43638,683,8,0,0,0,0
43639,204,16,0,0,0,0
43640,2282,28,0,0,0,0
43641,818.5,28,0,0,0,0
43642,2252,0,8,2,0,0
43643,967,19,0,0,27,0
43644,0,15,0,0,0,0
43645,0,0,0,0,0,0
43646,678,0,8,0,0,0
43647,0,0,0,0,0,0
43648,0,0,0,0,0,0
43649,2214,34,0,0,0,0
43650,317,24,0,0,0,0
43651,732,10,10,0,0,0
43652,0,0,0,0,0,0
43653,306,20,0,0,0,0
43654,797,11,0,0,0,0
43655,550,0,16,0,5,0
43656,893,30,18,0,0,0
43657,1294,0,12,1,0,0
43658,1196,9,24,0,16,0
43659,264,10,0,0,0,0
43660,1157,10,14,0,0,0
43661,1562,16,10,2,0,0
43662,100,21,0,0,0,3
43663,99,0,0,0,0,0
43664,1653,15,13,0,0,0
43665,1108,0,0,0,5,2
43666,429,0,8,0,0,0
43667,1143,10,0,1,0,0
43668,2070,19,13,1,2,0
43669,424,0,0,0,5,0
43670,4019,19,10,4,4,4
43671,704,7,17,0,0,0
43672,591,0,0,1,5,1
43673,3906,12,11,0,7,0
43674,359,7,0,0,0,0
43675,838,0,10,0,0,3
43676,1376,19,6,0,0,0
43677,953,0,0,0,12,3
43678,1653,14,8,3,0,5
43679,759,15,0,0,12,0
43680,0,0,0,0,0,0
43681,0,0,0,0,0,0
43682,190,0,0,0,0,0
43683,594,26,8,0,0,0
43684,883,14,0,0,5,0
43685,629,11,6,0,2,0
43686,210,12,0,0,0,0
43687,1049,11,0,0,2,0
43688,0,0,0,0,0,0
43689,205,0,0,0,0,0
43690,399,0,0,0,0,0
43691,753,24,0,0,0,0
43692,122,17,0,0,3,0
43693,1013,0,0,0,4,0
43694,162,0,5,0,0,0
43695,0,0,0,0,0,0
43696,1741,23,0,2,0,0
43697,2842,19,4,1,0,0
43698,560,16,8,0,0,0
43699,1028,14,10,4,0,0
43700,718,0,3,0,0,0
43701,0,0,0,0,0,0
43702,0,0,0,0,0,0
43703,0,0,0,0,0,0
43704,0,0,0,0,0,0
43705,689,0,11,1,0,0
43706,618,0,0,0,8,0
43707,607,0,6,0,0,0
43708,285,0,0,2,0,0
43709,818,21,0,0,0,0
43710,198,0,0,0,0,0
43711,1321,25,9,1,0,0
43712,370.8,26,0,0,0,0
43713,1697,11,3,6,0,0
43714,498,0,0,0,0,0
43715,102,7,0,1,0,0
43716,822,6,0,3,0,0
43717,1126,0,0,0,0,0
43718,0,0,0,0,0,0
43719,180,0,0,0,0,0
43720,354,13,0,2,0,0
43721,180,0,6,2,0,0
